level_1,level_2,level_3,level_4,level_5,radius_mm
deformable,record_250_empty_6,sample_0030,,,19.6
deformable,record_250_empty_6,sample_0031,,,20.1
deformable,record_250_empty_6,sample_0032,,,19.9
deformable,record_250_empty_6,sample_0033,,,19.9
deformable,record_250_empty_7,sample_0000,,,19.7
deformable,record_250_empty_7,sample_0001,,,23.6
deformable,record_250_empty_7,sample_0002,,,19.2
deformable,record_250_empty_7,sample_0003,,,23.8
deformable,record_250_empty_7,sample_0004,,,19.7
deformable,record_250_empty_7,sample_0005,,,19.5
deformable,record_250_empty_7,sample_0006,,,20.1
deformable,record_250_empty_7,sample_0007,,,19.4
deformable,record_250_empty_7,sample_0008,,,20.9
deformable,record_250_empty_7,sample_0009,,,20.5
deformable,record_250_empty_7,sample_0010,,,19.4
deformable,record_250_empty_7,sample_0011,,,20.4
deformable,record_250_empty_7,sample_0012,,,21.2
deformable,record_250_empty_7,sample_0013,,,19.2
deformable,record_250_empty_7,sample_0014,,,19.0
deformable,record_250_empty_7,sample_0015,,,19.8
deformable,record_250_empty_7,sample_0016,,,20.0
deformable,record_250_empty_7,sample_0017,,,19.0
deformable,record_250_empty_7,sample_0018,,,23.4
deformable,record_250_empty_7,sample_0019,,,21.8
deformable,record_250_empty_7,sample_0020,,,27.7
deformable,record_250_empty_7,sample_0021,,,18.5
deformable,record_250_empty_7,sample_0022,,,19.1
deformable,record_250_empty_7,sample_0023,,,19.0
deformable,record_250_empty_7,sample_0024,,,18.8
deformable,record_250_empty_7,sample_0025,,,19.5
deformable,record_250_empty_8,sample_0000,,,19.5
deformable,record_250_empty_8,sample_0001,,,20.1
deformable,record_250_empty_8,sample_0002,,,19.8
deformable,record_250_empty_8,sample_0003,,,20.0
deformable,record_250_empty_8,sample_0004,,,20.1
deformable,record_250_empty_8,sample_0005,,,20.0
deformable,record_250_empty_8,sample_0006,,,19.8
deformable,record_250_empty_8,sample_0007,,,20.9
deformable,record_250_empty_8,sample_0008,,,21.0
deformable,record_250_empty_8,sample_0009,,,19.5
deformable,record_250_empty_8,sample_0010,,,18.6
deformable,record_250_empty_8,sample_0011,,,19.2
deformable,record_250_empty_8,sample_0012,,,18.9
deformable,record_250_empty_8,sample_0013,,,20.7
